name,slug
Lara Callender Hogan,
Django Girls,
Agiliq Info Solutions,
Collaborative,
Adam Silver,
Nicholas Johnson,
David Bryant Copeland,
Al Sweigart,
Rafe Kettler,
B. R. Preiss,
Richard L. Halterman,
Mike Pirnat,
Jan Erik Solem,
Matt Makai,
Henry J.W. Percival,
Pieter Spronck,
Tomas Varaneckas,
Jesus Castello,
Reg Braithwaite,
Rails Girls,
Zed Shaw,
Hrishi Mittal,
Pavan Podila,
Dr. Axel Rauschmayer,
